id	category	name	description	contributor_name	contributor_github_name	contributor_orcid	collection	concerns_data_topic	purpose_detail	is_open	requires_registration	url	formal_specification	used_in_bridge2ai	responsible_organization	has_application_json	has_application_name	has_application_id	has_application_references	has_application_description	has_application_category	has_application_used_in_bridge2ai	publication	related_to	has_training_resource	has_relevant_data_substrate	has_relevant_organization	subclass_of	contribution_date
B2AI_STANDARD:11	B2AI_STANDARD:BiomedicalStandard	ABI	Applied Biosystems sequence read binary format file	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	A binary version of raw DNA sequence reads from Applied Biosystems sequencing analysis software.	False	False	https://tools.thermofisher.com/content/sfs/manuals/4346366_DNA_Sequenc_Analysis_5_1_UG.pdf	https://tools.thermofisher.com/content/sfs/manuals/4346366_DNA_Sequenc_Analysis_5_1_UG.pdf		[B2AI_ORG:123]														
B2AI_STANDARD:12	B2AI_STANDARD:BiomedicalStandard	ARB	ARB software binary alignment format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	A binary alignment format used by the ARB package.	True	False	http://www.arb-home.de/documentation.html											doi:10.1093/nar/gkh293						
B2AI_STANDARD:13	B2AI_STANDARD:BiomedicalStandard	ADL	Archetype Definition Language	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831		[B2AI_TOPIC:9]	ADL (Archetype Definition Language) provides a formal, human-readable syntax for expressing constraint-based models of clinical information structures. It enables the definition of reusable archetypes that constrain generic reference models (such as openEHR's) to represent specific clinical concepts like blood pressure measurements or problem lists. The language consists of cADL (constraint ADL) for structural definitions, dADL (data ADL) for metadata and terminology bindings, and an assertion language for business rules. ADL archetypes support multi-lingual terminology, specialization hierarchies, and versioning, making them suitable for creating maintainable, semantically interoperable health information systems. Tools exist for authoring, compiling, and validating ADL archetypes, with XML exchange formats also supported. The syntax is designed to be accessible to both clinical domain experts and technical implementers.	True	False	https://specifications.openehr.org/releases/AM/latest/ADL1.4.html	https://specifications.openehr.org/releases/AM/latest/ADL1.4.html		[B2AI_ORG:79]														
B2AI_STANDARD:14	B2AI_STANDARD:BiomedicalStandard	StructureDefinition-argo-careplan	Argonaut Data Query Implementation Guide	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[datamodel]	[B2AI_TOPIC:4]	Specifications for sharing single sets of patient care plans. Based on FHIR R2.	True	False	http://www.fhir.org/guides/argonaut/r2/StructureDefinition-argo-careplan.html			[B2AI_ORG:40]									[B2AI_STANDARD:109]	[B2AI_STANDARD:845|B2AI_STANDARD:846|B2AI_STANDARD:847|B2AI_STANDARD:850]				
B2AI_STANDARD:15	B2AI_STANDARD:BiomedicalStandard	AMIS	Article Minimum Information Standard	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[minimuminformationschema]	[B2AI_TOPIC:16]	The curation process is significantly slowed down by missing information in the articles analyzed. The identity of the clones used to generate ISH probes and the precise sequences tested in reporter assays constituted the most frequent omissions. To help authors ensure in the future that necessary information is present in their article, the Article Minimum Information Standard (AMIS) guidelines have been defined. The guideline describes the mandatory (and useful) information that should be mentioned in literature articles to facilitate the curation process. These guidelines extend the minimal information defined by the MISFISHIE format (Deutsch at al. 2008, Nature Biotechnology).	True	False	https://www.aniseed.fr/aniseed/default/submit_data?module=aniseed&action=default:submit_data#tab-4																	
B2AI_STANDARD:16	B2AI_STANDARD:BiomedicalStandard	Axt	Axt Alignment Format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	The Axt (Alignment eXTended) format is a simple text-based format developed by UCSC Genome Browser for storing pairwise DNA sequence alignments between two species or sequences. Each alignment block in an Axt file consists of four lines - a summary line containing alignment number, chromosome names, alignment start and end positions for both sequences, strand information, and alignment score, followed by the aligned sequence from the first genome, the aligned sequence from the second genome, and a blank separator line. The format uses zero-based coordinates for the first sequence and supports alignments on either strand, with sequences from the negative strand reverse-complemented. Axt files are particularly useful for representing whole-genome alignments between species (such as human-mouse or human-chimp comparisons) generated by alignment tools like BLASTZ or LASTZ. The format's straightforward structure makes it easy to parse programmatically and convert to other formats. UCSC provides utilities including axtToMaf for converting to MAF (Multiple Alignment Format), axtChain for chaining together alignments, and axtBest for selecting the best alignment for each position. While Axt efficiently represents pairwise alignments, it has been largely superseded by MAF and chain/net formats for more complex multi-way alignments and hierarchical alignment representations in comparative genomics workflows.	True	False	https://genome.ucsc.edu/goldenPath/help/axt.html			[B2AI_ORG:119]														
B2AI_STANDARD:17	B2AI_STANDARD:BiomedicalStandard	BAI	BAM indexing format file	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	A file containing the index for a Binary Alignment Map (BAM) file.	True	False	https://www.ncbi.nlm.nih.gov/tools/gbench/tutorial6/																	
B2AI_STANDARD:18	B2AI_STANDARD:BiomedicalStandard	BEDgraph	BEDgraph format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	The bedGraph format allows display of continuous-valued data in track format.	True	False	http://genome.ucsc.edu/goldenPath/help/bedgraph.html			[B2AI_ORG:119]									[B2AI_STANDARD:19|B2AI_STANDARD:20]					
B2AI_STANDARD:19	B2AI_STANDARD:BiomedicalStandard	bigBed	Big Browser Extensible Data Format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	The bigBed format is an indexed binary format for storing genome annotation data, developed by UCSC Genome Browser as a high-performance alternative to text-based BED files for large datasets. BigBed files store annotation items representing either simple genomic features or linked collections of exons, maintaining BED semantics while enabling efficient region-specific data transfer. Files are created using the bedToBigBed utility which converts sorted BED files into compressed binary format with built-in indexing, requiring chromosome sizes files and optionally AutoSql (.as) format definitions for describing standard and custom fields. The format supports BED3 through BED12 plus additional user-defined fields, with features including itemRgb color specification, extra searchable indices via the -extraIndex parameter for track hub item searches, and trackDb settings for mouseOver labels, field filtering, and URL transformations. Only the portions of bigBed files needed for the currently displayed chromosomal region are transferred to the browser, dramatically improving performance compared to full BED file loading. The format supports web-accessible hosting via HTTP, HTTPS, or FTP with sparse file caching, and includes utilities (bigBedToBed, bigBedInfo, bigBedSummary) for extracting and querying data. BigBed files are widely used in UCSC Genome Browser custom tracks, track hubs for consortia data sharing, and integrated with genome analysis workflows requiring scalable annotation storage and rapid genomic region queries.	True	False	https://genome.ucsc.edu/goldenPath/help/bigBed.html			[B2AI_ORG:119]									[B2AI_STANDARD:18|B2AI_STANDARD:20]					
B2AI_STANDARD:20	B2AI_STANDARD:BiomedicalStandard	bigWig	Big Wiggle Format	Harry Caufield	caufieldjh	ORCID:0000-0001-5705-7831	[fileformat]	[B2AI_TOPIC:12|B2AI_TOPIC:13]	The bigWig format is an indexed binary file format developed by UCSC for efficient storage and visualization of dense, continuous genomic data displayed as graphs in genome browsers. Created from wiggle (wig) or bedGraph files using the wigToBigWig or bedGraphToBigWig utilities, bigWig files enable rapid data access by transferring only the portions needed to display specific genomic regions, rather than entire datasets. This sparse file caching mechanism provides dramatically faster performance than text-based formats when working with large-scale datasets such as ChIP-seq, RNA-seq coverage, methylation levels, or conservation scores. The format supports various visualization options including customizable graph types (bar or points), scaling parameters, smoothing windows, logarithmic transformations, and color schemes. BigWig files can also display sequence logos using the dynseq feature, which scales nucleotide characters by base-resolution scores. The format includes utilities for data extraction (bigWigToBedGraph, bigWigToWig, bigWigSummary, bigWigAverageOverBed) and file inspection (bigWigInfo), making it suitable for both visualization and downstream computational analysis.	True	False	https://genome.ucsc.edu/goldenPath/help/bigWig.html			[B2AI_ORG:119]									[B2AI_STANDARD:18|B2AI_STANDARD:19]					
