"id","acronym","name","category","description","collections","hasAIApplication","isMature","concerns_data_topic","has_relevant_organization","responsible_organization","isOpen","registration","URL","formalSpec","publication","trainingResources","subclassOf","contributionDate","relatedTo","usedInBridge2AI","topic","relevantOrgNames","responsibleOrgAcronym","responsibleOrgName"
"B2AI_STANDARD:11","ABI","Applied Biosystems sequence read binary format file","Biomedical Standard","A binary version of raw DNA sequence reads from Applied Biosystems sequencing analysis software.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:123""]","No","No",,"https://tools.thermofisher.com/content/sfs/manuals/4346366_DNA_Sequenc_Analysis_5_1_UG.pdf",,,,,,"No","[""Gene"", ""Genome""]",,"[""Thermo Fisher""]","[""Thermo Fisher Scientific Inc.""]"
"B2AI_STANDARD:12","ARB","ARB software binary alignment format","Biomedical Standard","A binary alignment format used by the ARB package.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,,"Yes","No","http://www.arb-home.de/documentation.html",,"doi:10.1093/nar/gkh293",,,,,"No","[""Gene"", ""Genome""]",,,
"B2AI_STANDARD:13","ADL","Archetype Definition Language","Biomedical Standard","ADL is designed as an abstract human-readable and computer-processible syntax. ADL archetypes can be hand-edited using a normal text editor. The intended audience includes standards bodies producing health informatics standards; Academic groups using openEHR; The open source healthcare community; Solution vendors; Medical informaticians and clinicians interested in health information.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:79""]","[""B2AI_ORG:79""]","Yes","No",,"https://specifications.openehr.org/releases/AM/latest/ADL1.4.html",,,,,,"No","[""EHR""]","[""openEHR""]","[""openEHR""]","[""openEHR Foundation""]"
"B2AI_STANDARD:14","StructureDefinition-argo-careplan","Argonaut Data Query Implementation Guide","Biomedical Standard","Specifications for sharing single sets of patient care plans. Based on FHIR R2.","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://www.fhir.org/guides/argonaut/r2/StructureDefinition-argo-careplan.html",,,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,"[""B2AI_STANDARD:109""]","No","[""Clinical Observations""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:15","AMIS","Article Minimum Information Standard","Biomedical Standard","The curation process is significantly slowed down by missing information in the articles analyzed. The identity of the clones used to generate ISH probes and the precise sequences tested in reporter assays constituted the most frequent omissions. To help authors ensure in the future that necessary information is present in their article, the Article Minimum Information Standard (AMIS) guidelines have been defined. The guideline describes the mandatory (and useful) information that should be mentioned in literature articles to facilitate the curation process. These guidelines extend the minimal information defined by the MISFISHIE format (Deutsch at al. 2008, Nature Biotechnology).","[""minimuminformationschema""]","No","No","[""B2AI_TOPIC:16""]",,,"Yes","No","https://www.aniseed.fr/aniseed/default/submit_data?module=aniseed&action=default:submit_data#tab-4",,,,,,,"No","[""Literature""]",,,
"B2AI_STANDARD:16","Axt","Axt Alignment Format","Biomedical Standard","A format for sequence alignments.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","https://genome.ucsc.edu/goldenPath/help/axt.html",,,,,,,"No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:17","BAI","BAM indexing format file","Biomedical Standard","A file containing the index for a Binary Alignment Map (BAM) file.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,,"Yes","No","https://www.ncbi.nlm.nih.gov/tools/gbench/tutorial6/",,,,,,,"No","[""Gene"", ""Genome""]",,,
"B2AI_STANDARD:18","BEDgraph","BEDgraph format","Biomedical Standard","The bedGraph format allows display of continuous-valued data in track format.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","http://genome.ucsc.edu/goldenPath/help/bedgraph.html",,,,,,"[""B2AI_STANDARD:19"", ""B2AI_STANDARD:20""]","No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:19","bigBED","Big Browser Extensible Data Format","Biomedical Standard","The bigBed format stores annotation items that can be either a simple or a linked collection of exons, much as BED files do.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","https://genome.ucsc.edu/goldenPath/help/bigBed.html",,,,,,"[""B2AI_STANDARD:18"", ""B2AI_STANDARD:20""]","No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:20","bigWig","Big Wiggle Format","Biomedical Standard","The bigWig format is for display of dense, continuous data that will be displayed in the Genome Browser as a graph.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","https://genome.ucsc.edu/goldenPath/help/bigWig.html",,,,,,"[""B2AI_STANDARD:18"", ""B2AI_STANDARD:19""]","No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:21","BAM/CRAM","Binary Alignment Map / Compressed Reference-oriented Alignment Map","Biomedical Standard","The CRAM format is a compressed version of the Binary Alignment/Map (BAM) format. The CRAM format is designed to be more efficient than BAM, especially for large datasets. The CRAM format is based on the BAM format, but it uses a different compression algorithm and has a different file structure. The CRAM format is also designed to be more flexible than BAM, allowing for the inclusion of additional information about the data.","[""fileformat"", ""has_ai_application"", ""standards_process_maturity_final"", ""implementation_maturity_production""]","Yes","Yes","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]","[""B2AI_ORG:117"", ""B2AI_ORG:116""]","[""B2AI_ORG:34""]","Yes","No","https://samtools.github.io/hts-specs/",,,,,,"[""B2AI_STANDARD:22""]","Yes","[""Gene"", ""Genome""]","[""Functional Genomics Grand Challenge"", ""Precision Public Health Grand Challenge""]","[""GA4GH""]","[""Global Alliance for Genomics and Health""]"
"B2AI_STANDARD:22","BAM","Binary Alignment Map format","Biomedical Standard","A BAM file (.bam) is the binary version of a SAM file.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:34""]","Yes","No","https://en.wikipedia.org/wiki/Binary_Alignment_Map","https://samtools.github.io/hts-specs/SAMv1.pdf",,,,,"[""B2AI_STANDARD:21""]","Yes","[""Gene"", ""Genome""]",,"[""GA4GH""]","[""Global Alliance for Genomics and Health""]"
"B2AI_STANDARD:23","2bit","Binary sequence information Format","Biomedical Standard","A .2bit file stores multiple DNA sequences (up to 4 Gb total) in a compact randomly-accessible format. The file contains masking information as well as the DNA itself.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","http://genome.ucsc.edu/FAQ/FAQformat.html#format7",,,,,,,"No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:24","BCF","Binary variant call format","Biomedical Standard","A binary version of the variant call format (VCF).","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,,"Yes","No","https://samtools.github.io/bcftools/bcftools.html",,,,,,,"No","[""Gene"", ""Genome""]",,,
"B2AI_STANDARD:25","BioCompute","BioCompute Object standard","Biomedical Standard","Because of the many different ways to organize data, a major goal of the BioCompute project is to build and maintain a formal standard through recognized, accredited standards setting organizations like the Institute for Electrical and Electronics Engineers (IEEE) and the International Standards Organization (ISO). A formal, consensus-based standard builds predictability and even more stability into the way in which bioinformatic methods are communicated. The standard, officially known as 2791-2020, has two parts, the standards document and the schema, which is maintained in an open source repository.",,"No","No","[""B2AI_TOPIC:1""]","[""B2AI_ORG:44""]",,"Yes","No","https://docs.biocomputeobject.org/user_guide/",,"doi:10.5731/pdajpst.2016.006734",,,,,"No","[""Biology""]","[""IEEE""]",,
"B2AI_STANDARD:26","Biolink","Biolink Model","Biomedical Standard","A high level datamodel of biological entities (genes, diseases, phenotypes, pathways, individuals, substances, etc) and their associations.","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:20""]","[""B2AI_ORG:70""]",,"Yes","No","https://biolink.github.io/biolink-model/",,"doi:10.1111/cts.13302",,,,,"Yes","[""Molecular Biology""]","[""NIH NCATS Translator""]",,
"B2AI_STANDARD:27","BEL","Biological Expression Language","Biomedical Standard","A language for representing scientific findings in the life sciences in a computable form.","[""markuplanguage""]","No","No","[""B2AI_TOPIC:5""]",,,"Yes","No","https://bel.bio/","https://language.bel.bio/",,,,,,"No","[""Data""]",,,
"B2AI_STANDARD:28","BRIDG Model","Biomedical Research Integrated Domain Group Model","Biomedical Standard","The Biomedical Research Integrated Domain Group (BRIDG) Model is a collaborative effort engaging stakeholders from the Clinical Data Interchange Standards Consortium (CDISC), the HL7 BRIDG Work Group, the US National Cancer Institute (NCI), and the US Food and Drug Administration (FDA). The goal of the BRIDG Model is to produce a shared view of the dynamic and static semantics for the domain of basic, pre-clinical, clinical, and translational research and its associated regulatory artifacts.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:15"", ""B2AI_ORG:31"", ""B2AI_ORG:40"", ""B2AI_ORG:71""]",,"Yes","No","https://bridgmodel.nci.nih.gov/","https://github.com/CBIIT/bridg-model/","doi:10.1093/jamia/ocx004",,,,,"No","[""Data""]","[""CDISC"", ""FDA"", ""HL7"", ""NIH NCI""]",,
"B2AI_STANDARD:29","BioPAX","BioPAX standard","Biomedical Standard","BioPAX is a standard language that aims to enable integration, exchange, visualization and analysis of biological pathway data. Specifically, BioPAX supports data exchange between pathway data groups and thus reduces the complexity of interchange between data formats by providing an accepted standard format for pathway data. By offering a standard, with well-defined semantics for pathway representation, BioPAX allows pathway databases and software to interact more efficiently. In addition, BioPAX enables the development of pathway visualization from databases and facilitates analysis of experimentally generated data through combination with prior knowledge. The BioPAX effort is coordinated closely with that of other pathway related standards initiatives namely; PSI-MI, SBML, CellML, and SBGN in order to deliver a compatible standard in the areas where they overlap.","[""markuplanguage""]","No","No","[""B2AI_TOPIC:21""]",,,"Yes","No","http://www.biopax.org/",,"doi:10.1038/nbt.1666",,,,,"No","[""Networks And Pathways""]",,,
"B2AI_STANDARD:30","Bioschemas","Bioschemas","Biomedical Standard","Bioschemas aims to improve the Findability on the Web of life sciences resources such as datasets, software, and training materials.",,"No","No","[""B2AI_TOPIC:1""]","[""B2AI_ORG:28""]",,"Yes","No","https://bioschemas.org/","https://github.com/BioSchemas/specifications",,,,,,"No","[""Biology""]","[""ELIXIR""]",,
"B2AI_STANDARD:31","BRISQ","Biospecimen Reporting for Improved Study Quality","Biomedical Standard","Human biospecimens are subject to a number of different collection, processing, and storage factors that can significantly alter their molecular composition and consistency. These biospecimen preanalytical factors, in turn, influence experimental outcomes and the ability to reproduce scientific results. Currently, the extent and type of information specific to the biospecimen preanalytical conditions reported in scientific publications and regulatory submissions varies widely. To improve the quality of research utilizing human tissues, it is critical that information regarding the handling of biospecimens be reported in a thorough, accurate, and standardized manner. The Biospecimen Reporting for Improved Study Quality (BRISQ) recommendations outlined herein are intended to apply to any study in which human biospecimens are used. The purpose of reporting these details is to supply others, from researchers to regulators, with more consistent and standardized information to better evaluate, interpret, compare, and reproduce the experimental results. The BRISQ guidelines are proposed as an important and timely resource tool to strengthen communication and publications around biospecimen-related research and help reassure patient contributors and the advocacy community that the contributions are valued and respected","[""guidelines""]","No","No","[""B2AI_TOPIC:1""]","[""B2AI_ORG:72""]",,"Yes","No",,,"doi:10.1002/cncy.20147",,,,,"No","[""Biology""]","[""NIH NCI BBRB""]",,
"B2AI_STANDARD:32","BioXSD","BioXSD","Biomedical Standard","Data model and exchange formats for basic bioinformatics types of data - sequences, alignments, feature records with associated data and metadata.","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:20""]","[""B2AI_ORG:28""]",,"Yes","No","http://bioxsd.org/","https://github.com/bioxsd/bioxsd","doi:10.1093/bioinformatics/btq391",,,,,"No","[""Molecular Biology""]","[""ELIXIR""]",,
"B2AI_STANDARD:33","BIDS","Brain Imaging Data Structure","Biomedical Standard","The Brain Imaging Data Structure (BIDS) is a simple and intuitive way to organize and describe data. This document defines the BIDS specification, which provides many details to help implement the standard. It includes the core specification as well as many extensions to specific brain imaging modalities, and increasingly also to other kinds of data.","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:22""]",,,"Yes","No","https://bids-specification.readthedocs.io/en/stable/","https://github.com/bids-standard/bids-specification","doi:10.1038/sdata.2016.44",,,,,"No","[""Neurologic Imaging""]",,,
"B2AI_STANDARD:34","BFI","Brief Fatigue Inventory","Biomedical Standard","The Brief Fatigue Inventory (BFI) is used to rapidly assess the severity and impact of cancer-related fatigue. An increasing focus on cancer-related fatigue emphasized the need for sensitive tools to assess this most frequently reported symptom. The six interference items correlate with standard quality-of-life measures.","[""diagnosticinstrument""]","No","No","[""B2AI_TOPIC:9""]",,,"Yes","No","https://www.mdanderson.org/research/departments-labs-institutes/departments-divisions/symptom-research/symptom-assessment-tools/brief-fatigue-inventory.html","http://www.npcrc.org/files/news/brief_fatigue_inventory.pdf",,,,,,"No","[""EHR""]",,,
"B2AI_STANDARD:35","BPI","Brief Pain Inventory","Biomedical Standard","The Brief Pain Inventory (BPI) rapidly assesses the severity of pain and its impact on functioning. The BPI has been translated into dozens of languages, and it is widely used in both research and clinical settings.","[""diagnosticinstrument""]","No","No","[""B2AI_TOPIC:9""]",,,"Yes","No","https://www.mdanderson.org/research/departments-labs-institutes/departments-divisions/symptom-research/symptom-assessment-tools/brief-pain-inventory.html","http://www.npcrc.org/files/news/briefpain_short.pdf",,,,,,"No","[""EHR""]",,,
"B2AI_STANDARD:36","BED","Browser Extensible Data Format","Biomedical Standard","BED (Browser Extensible Data) format provides a flexible way to define the data lines that are displayed in an annotation track. BED lines have three required fields and nine additional optional fields. The number of fields per line must be consistent throughout any single set of data in an annotation track. The order of the optional fields is binding. Lower-numbered fields must always be populated if higher-numbered fields are used.","[""fileformat""]","No","No","[""B2AI_TOPIC:12"", ""B2AI_TOPIC:13""]",,"[""B2AI_ORG:119""]","Yes","No","https://genome.ucsc.edu/FAQ/FAQformat.html#format1","https://github.com/samtools/hts-specs/blob/master/BEDv1.pdf",,,,,,"No","[""Gene"", ""Genome""]",,"[""UCSC""]","[""University of California, Santa Cruz""]"
"B2AI_STANDARD:37","BPMN","Business Process Modeling Notation","Biomedical Standard","A graphical notation that depicts the steps in a business process. BPMN depicts the end-to-end flow of a business process. The notation has been specifically designed to coordinate the sequence of processes and the messages that flow between different process participants in a related set of activities.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:10""]",,"Yes","No","https://www.omg.org/bpmn/index.htm",,,,,,,"No","[""Data""]","[""BPM+""]",,
"B2AI_STANDARD:38","CMMN","Case Management Model and Notation","Biomedical Standard","A common meta- model and notation for modeling and graphically expressing a case as well as an interchange format for exchanging case models among different tools.",,"No","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:10""]",,"Yes","No","https://www.omg.org/cmmn/",,,,,,,"No","[""Clinical Observations""]","[""BPM+""]",,
"B2AI_STANDARD:39","CARE","Case Report guidelines","Biomedical Standard","The CARE guidelines provide a framework that supports transparency and accuracy in the publication of case reports and the reporting of information from patient encounters.","[""guidelines""]","No","No","[""B2AI_TOPIC:4""]",,,"Yes","No","https://www.care-statement.org/",,,,,,,"No","[""Clinical Observations""]",,,
"B2AI_STANDARD:40","Define","CDISC Case Report Tabulation Data Definition Specification","Biomedical Standard","The CDISC Case Report Tabulation Data Definition Specification (define.xml) Version 1.0 reflects changes from a comment period through the Health Level 7 (HL7) Regulated Clinical Research Information Management Technical Committee (RCRIM) in December 2003 (www.hl7.org) and CDISC's website in September 2004 as well as the work done by the define.xml team in conjunction with the CDISC ODM team to add functionality, features, and additional documentation. This document specifies the standard for providing Case Report Tabulations Data Definitions in an XML format for submission to regulatory authorities (e.g., FDA). The XML schema used to define the expected structure for these XML files is based on an extension to the CDISC Operational Data Model (ODM). The 1999 FDA electronic submission (eSub) guidance and the electronic Common Technical Document (eCTD) documents specify that a document describing the content and structure of the included data should be provided within a submission. This document is known as the Data Definition Document (e.g., define.pdf in the 1999 guidance). The Data Definition Document provides a list of the datasets included in the submission along with a detailed description of the contents of each dataset. To increase the level of automation and improve the efficiency of the Regulatory Review process, define.xml can be used to provide the Data Definition Document in a machine-readable format.",,"No","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","Yes","https://www.cdisc.org/standards/data-exchange/define-xml",,,,,,,"No","[""Clinical Observations""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
"B2AI_STANDARD:41","CDISC ADaM","CDISC Controlled Terminology for Analysis Dataset Model","Biomedical Standard","Controlled terminology for data analysis and assessments.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","No","https://evs.nci.nih.gov/ftp1/CDISC/ADaM/ADaM%20Terminology.html","https://evs.nci.nih.gov/ftp1/CDISC/ADaM/",,,,,"[""B2AI_STANDARD:42"", ""B2AI_STANDARD:43""]","No","[""Data""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
"B2AI_STANDARD:42","CDISC Protocol","CDISC Controlled Terminology for Data Collection for Protocol","Biomedical Standard","Controlled terminology for biomedical protocols.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","No","https://evs.nci.nih.gov/ftp1/CDISC/Protocol/Protocol%20Terminology.html","https://evs.nci.nih.gov/ftp1/CDISC/Protocol/",,,,,"[""B2AI_STANDARD:41"", ""B2AI_STANDARD:43""]","No","[""Data""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
"B2AI_STANDARD:43","CDISC TAUGs","CDISC Controlled Terminology for Therapeutic Area Standards","Biomedical Standard","Disease-specific metadata, examples and guidance on implementing CDISC standards.",,"No","No","[""B2AI_TOPIC:4"", ""B2AI_TOPIC:7""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","No","https://www.cdisc.org/standards/therapeutic-areas",,,,,,"[""B2AI_STANDARD:41"", ""B2AI_STANDARD:42""]","No","[""Clinical Observations"", ""Disease""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
"B2AI_STANDARD:44","SDTM","CDISC Controlled Terminology Standards for Data Aggregation through Study Data Tabulation Model (including QRS, Medical Device and Pharmacogenomics Data)","Biomedical Standard","A standard for organizing and formatting data to streamline processes in collection, management, analysis and reporting.",,"No","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","No","https://www.cdisc.org/standards/foundational/sdtm","https://evs.nci.nih.gov/ftp1/CDISC/SDTM/",,,,,,"No","[""Clinical Observations""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
"B2AI_STANDARD:45","CDASH","CDISC Controlled Terminology Standards for Data Collection through Clinical Data Acquisition Standards Harmonization","Biomedical Standard","A standard way to collect data consistently across studies and sponsors so that data collection formats and structures provide clear traceability of submission data into the Study Data Tabulation Model (SDTM).",,"No","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:15""]","[""B2AI_ORG:15""]","Yes","No","https://www.cdisc.org/standards/foundational/cdash","https://evs.nci.nih.gov/ftp1/CDISC/SDTM/",,,,,,"No","[""Clinical Observations""]","[""CDISC""]","[""CDISC""]","[""Clinical Data Interchange Standards Consortium""]"
